"Effect_Size_ID","Study_ID","Species_ID","Treatment_ID","Trait_ID","First_Author","Title","Year","Journal","Journal_Impact_Factor-2021","Scientific_Name","Ecosystem","Species_Overlap","Plasticity_Mechanism","Developmental_Exposure_Time","Acclimation_Exposure_Time","Exposure_Units","T1_constant","T2_mean","T2_Magnitude","Fluctuation_Category","Fluctuation_Period","Fluctuation_Unit","Acclimation_Life-History_Stage","Animal_Overlap_T1","Animal_Overlap_T2","Shared_Control","Trait_Category","Measurement","Trait_Unit","Performance_Curve","Complex_Design","Animal_Overlap","Percentage_Transformation","Proportion_Transformation","In_Transformation","Reciprocal_Transformation","n_R1-1","R1-1_Mean","R1-1_SD_Final","n_R2-2","R2-2_Mean","R2-2_SD_Final"
1,1,1,1,1,"J. A. C. Henry","Absence Of Respiratory Acclimation To Diurnally-Cycling Temperature Conditions In Rainbow Trout",1984,"Comparative Biochemistry And Physiology A-Molecular & Integrative Physiology",2.888,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,4,"Weeks",10,10,8,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Oxygen Consumption","mg kg-1 hr-1","Yes","No","A","No","No","No","No",10,60.6930693069307,13.5781774658675,10,62.6732673267327,10.383312179781
2,1,1,1,2,"J. A. C. Henry","Absence Of Respiratory Acclimation To Diurnally-Cycling Temperature Conditions In Rainbow Trout",1984,"Comparative Biochemistry And Physiology A-Molecular & Integrative Physiology",2.888,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,4,"Weeks",10,10,8,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Ventilatory Rate","cycles min-1","Yes","No","A","No","No","No","No",10,77.6470588235294,8.5415663089782,10,82.3529411764706,9.49062923219801
3,1,1,1,3,"J. A. C. Henry","Absence Of Respiratory Acclimation To Diurnally-Cycling Temperature Conditions In Rainbow Trout",1984,"Comparative Biochemistry And Physiology A-Molecular & Integrative Physiology",2.888,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,4,"Weeks",10,10,8,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Ventilatory Flow","ml kg-1 min-1","Yes","No","A","No","No","No","No",10,258.823529411765,56.943775393188,10,247.058823529412,66.4344046253866
4,1,1,1,4,"J. A. C. Henry","Absence Of Respiratory Acclimation To Diurnally-Cycling Temperature Conditions In Rainbow Trout",1984,"Comparative Biochemistry And Physiology A-Molecular & Integrative Physiology",2.888,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,4,"Weeks",10,10,8,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Stroke Volume","ml","Yes","No","A","No","No","No","No",10,1.4,0.201675871184209,10,1.4,0.181508284065788
7,1,1,1,7,"J. A. C. Henry","Absence Of Respiratory Acclimation To Diurnally-Cycling Temperature Conditions In Rainbow Trout",1984,"Comparative Biochemistry And Physiology A-Molecular & Integrative Physiology",2.888,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,4,"Weeks",10,10,8,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Oxygen Utilisation","%","Yes","No","A","Yes","No","No","No",10,30.6060606060606,5.86693443444967,10,32.4242424242425,7.8225792459329
8,1,1,1,8,"J. A. C. Henry","Absence Of Respiratory Acclimation To Diurnally-Cycling Temperature Conditions In Rainbow Trout",1984,"Comparative Biochemistry And Physiology A-Molecular & Integrative Physiology",2.888,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,4,"Weeks",10,10,8,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Cardiac Rate","beats min-1","Yes","No","A","No","No","No","No",10,56.829268292683,9.44433347984582,10,60.7317073170732,9.44433347984591
9,2,1,1,1,"F. Bozinovic","Acclimation To Daily Thermal Variability Drives The Metabolic Performance Curve",2013,"Evolutionary Ecology Research",0,"Tenebrio molitor","Terrestrial","A","Acclimation",NA,3,"Weeks",24,24,8,"Alternating",1,"Day","Larvae","A","B","A","Physiological","Carbon dioxide Production","ul CO2 min-1","Yes","No","A","No","No","No","No",5,0.64225352112676,0.256747853787561,5,0.419718309859155,0.0791431498427397
10,2,1,2,1,"F. Bozinovic","Acclimation To Daily Thermal Variability Drives The Metabolic Performance Curve",2013,"Evolutionary Ecology Research",0,"Tenebrio molitor","Terrestrial","A","Acclimation",NA,3,"Weeks",24,24,16,"Alternating",1,"Day","Larvae","A","C","A","Physiological","Carbon dioxide Production","ul CO2 min-1","Yes","No","A","No","No","No","No",5,0.64225352112676,0.256747853787561,5,0.536619718309859,0.401667818355318
11,3,1,1,1,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Life-History Traits","Larval Development","Days","No","No","A","No","No","No","Yes",48,28.5625,3.86972,39,29.23077,4.042287
12,3,1,1,2,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Life-History Traits","Larval Development","Days","No","No","B","No","No","No","Yes",23,25.65217,3.324957,35,26.2,3.385088
