Effect_Size_ID,Study_ID,Species_ID,Treatment_ID_T1,Treatment_ID_T2,Trait_ID,First_Author,Title,Year,Journal,Journal_Impact_Factor-2021,Kingdom,Phylum,Class,Order,Family,Scientific_Name,Ecosystem,Plasticity_Mechanism,Developmental_Exposure_Time_Category,Developmental_Exposure_Time,Acclimation_Exposure_Time,Exposure_Units,T1_constant,T1_fluctuation,T2_constant,T2_fluctuation,High,Fluctuation_Magnitude,Fluctuation_Category,Fluctuation_Period,Fluctuation_Unit,Number_Of_Fluctuations,Acclimation_Life-History_Stage,Acclimation_Life-History_Stage_Category,Trait_Category,Measurement,Trait_Unit,per_transform,ln_transform,Sex,Performance_Curve,Complex_Design,Shared_Control_Number,n_T1_C,Mean_T1_C,SD_Final_T1_C,n_T1_F,Mean_T1_F,SD_Final_T1_F,n_T2_C,Mean_T2_C,SD_Final_T2_C,n_T2_F,Mean_T2_F,SD_Final_T2_F
1,4,1,1,2,1,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Male,No,Yes,1,50,32.73927393,1.75026431,50,26.13861386,2.333685746,50,17.31023102,1.166842873,50,16.32013201,2.333685746
2,4,1,1,2,2,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Female,No,Yes,2,50,36.12211221,2.917107183,50,29.10891089,1.75026431,50,18.63036304,2.917107183,50,16.73267327,2.333685746
3,4,1,1,2,3,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,Male,No,Yes,3,50,133,9.428090416,50,127.6666667,8.249579114,50,109.6666667,11.78511302,50,110,8.249579114
4,4,1,1,2,4,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,Female,No,Yes,4,50,131.3333333,12.96362432,50,135.3333333,9.428090416,50,112.1666667,10.60660172,50,115,7.071067812
5,4,1,1,2,5,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Male,No,Yes,5,50,17.85608856,2.191770097,50,15.77490775,1.252440055,50,9.885608856,1.252440055,50,9.442804428,1.878660083
6,4,1,1,2,6,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Female,No,Yes,6,50,19.31734317,2.191770097,50,15.11070111,1.565550069,50,9.929889299,1.252440055,50,9.442804428,0.939330041
7,4,1,1,2,7,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Gene Expression,hsp70,Relative Expression,No,No,Male,No,Yes,7,10,0.381959459,0.041665145,10,0.345810811,0.025640089,10,0.383986486,0.039528471,10,0.33972973,0.026708426
8,4,1,1,2,8,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Gene Expression,hsp70,Relative Expression,No,No,Female,No,Yes,8,10,0.35527027,0.024571752,10,0.324189189,0.035255123,10,0.366756757,0.035255123,10,0.333310811,0.043801819
9,4,1,1,2,9,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Biochemical Assay,Haemocytes,No.,No,No,Male,No,Yes,9,25,30.1010101,5.387205387,25,36.96969697,15.48821549,25,25.79124579,8.754208754,25,30.37037037,14.14141414
10,4,1,1,2,10,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Biochemical Assay,Haemocytes,No.,No,No,Female,No,Yes,10,25,34.27609428,11.44781145,25,48.28282828,16.83501684,25,23.5016835,5.387205387,25,32.52525253,11.44781145
11,4,1,1,2,11,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Biochemical Assay,PO Activity,No.,No,No,Male,No,Yes,11,25,12.04081633,5.442176871,25,9.183673469,6.802721088,25,8.639455782,5.442176871,25,11.2244898,5.442176871
12,4,1,1,2,12,K. Fischer,Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?,2011,Oecologia,3.298,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena tityrus,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,17.7,17.7,23.7,23.7,T2,10,Stepwise,1,Day,NA,NA,NA,Biochemical Assay,PO Activity,No.,No,No,Female,No,Yes,12,25,35.98639456,12.92517007,25,42.65306122,18.36734694,25,26.59863946,13.60544218,25,34.89795918,17.00680272
13,5,1,1,2,1,T. Ketola,"Constant, Cycling, Hot And Cold Thermal Environments: Strong Effects On Mean Viability But Not On Genetic Estimates",2012,Journal Of Evolutionary Biology,2.516,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,25,25,30,30,T2,8,Alternating,1,Day,NA,NA,NA,Population,Survival,Proportion,Yes,No,NA,No,Yes,13,17160,0.83,0.392988549,17340,0.81,0.395044301,16830,0.74,0.518921959,16920,0.66,0.520307601
14,9,1,4,5,1,J. M. Arrighi,Daily Temperature Fluctuations Unpredictably Influence Developmental Rate And Morphology At A Critical Early Larval Stage In A Frog,2013,Bmc Ecology,3.368,Metazoa,Chordata,Amphibia,Anura,Bombinatoridae,Bombina orientalis,Aquatic,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20,20,28,28,T2,12,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Life-History Traits,Development Time,Stage,No,No,NA,No,Yes,14,168,18.57243816,1.145007191,168,18.1130742,1.145007191,168,20.99293286,2.290014381,168,20.40989399,1.374008629
15,9,1,4,5,2,J. M. Arrighi,Daily Temperature Fluctuations Unpredictably Influence Developmental Rate And Morphology At A Critical Early Larval Stage In A Frog,2013,Bmc Ecology,3.368,Metazoa,Chordata,Amphibia,Anura,Bombinatoridae,Bombina orientalis,Aquatic,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20,20,28,28,T2,12,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Morphology,Length,mm,No,No,NA,No,Yes,15,168,4.591549296,0.547668228,168,4.388732394,1.241381317,168,4.532394366,0.98580281,168,4.532394366,0.693713089
16,9,1,4,5,3,J. M. Arrighi,Daily Temperature Fluctuations Unpredictably Influence Developmental Rate And Morphology At A Critical Early Larval Stage In A Frog,2013,Bmc Ecology,3.368,Metazoa,Chordata,Amphibia,Anura,Bombinatoridae,Bombina orientalis,Aquatic,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20,20,28,28,T2,12,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Morphology,Tail Length,mm,No,No,NA,No,Yes,16,168,2.328671329,1.631515141,168,1.293706294,1.087676761,168,4.468531469,1.631515141,168,3.797202797,1.087676761
17,13,1,1,7,3,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Acclimation,NA,NA,8,Days,20.7,20.7,26.3,26.3,T2,4.8,Sinusoidal (Sine Curve),1,Day,8,Egg,Embryo,Physiological,Metabolic Rate,microL/hr,No,No,NA,Yes,Yes,17,12,16.13,3.29,12,18.85,4.05,11,35.24,3.84,12,34.89,5.39
18,13,1,2,8,4,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20.7,20.7,26.3,26.3,T2,4.8,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Morphology,Length,mm,No,No,NA,No,Yes,18,8,20.84,1.04,15,21.02,0.77,21,20.46,0.95,24,20.54,0.71
19,13,1,2,8,6,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20.7,20.7,26.3,26.3,T2,4.8,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Morphology,Tail Length,mm,No,No,NA,No,Yes,19,46,30,2.37,52,30.39,2.05,50,32.05,1.68,50,31.91,1.47
20,13,1,3,9,3,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Acclimation,NA,NA,8,Days,20.7,20.7,26.3,26.3,T2,4.8,Stepwise,1,Day,8,Egg,Embryo,Physiological,Metabolic Rate,microL/hr,No,No,NA,Yes,Yes,17,12,16.13,3.29,11,17.33,3.42,11,35.24,3.84,11,34.41,6.36
21,13,1,4,10,4,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20.7,20.7,26.3,26.3,T2,4.8,Stepwise,1,Day,NA,NA,NA,Morphology,Length,mm,No,No,NA,No,Yes,18,8,20.84,1.04,17,20.54,0.74,21,20.46,0.95,24,20.48,0.84
22,13,1,4,10,6,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20.7,20.7,26.3,26.3,T2,4.8,Stepwise,1,Day,NA,NA,NA,Morphology,Tail Length,mm,No,No,NA,No,Yes,19,46,30,2.37,51,29.75,1.71,50,32.05,1.68,47,31.73,1.98
23,13,1,5,11,3,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Acclimation,NA,NA,8,Days,20.7,20.7,26.3,26.3,T2,13,Stochastic,1,Day,8,Egg,Embryo,Physiological,Metabolic Rate,microL/hr,No,No,NA,Yes,Yes,17,12,16.13,3.29,12,19.06,3.87,11,35.24,3.84,12,32.74,5.42
24,13,1,6,12,4,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20.7,20.7,26.3,26.3,T2,13,Stochastic,1,Day,NA,NA,NA,Morphology,Length,mm,No,No,NA,No,Yes,18,8,20.84,1.04,22,20.62,0.81,21,20.46,0.95,23,20.34,0.79
25,13,1,6,12,6,J. M. Hall,Ecologically Relevant Thermal Fluctuations Enhance Offspring Fitness: Biological And Methodological Implications For Studies Of Thermal Developmental Plasticity,2020,Journal Of Experimental Biology,3.308,Metazoa,Chordata,NA,Squamata,Dactyloidae,Anolis sagrei,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20.7,20.7,26.3,26.3,T2,13,Stochastic,1,Day,NA,NA,NA,Morphology,Tail Length,mm,No,No,NA,No,Yes,19,46,30,2.37,49,30.58,1.86,50,32.05,1.68,49,31.63,1.65
26,14,1,1,2,1,F. Boher,Ectotherms In Variable Thermal Landscapes: A Physiological Evaluation Of The Invasive Potential Of Fruit Flies Species,2016,Frontiers In Physiology,4.755,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,Terrestrial,Acclimation,NA,NA,14,Days,17,17,24,24,T2,10,NA,NA,NA,NA,Adult,Adult,Gene Expression,hsp90,Relative Expression,No,No,NA,No,Yes,20,3,4.002985075,1.6906884,3,3.143283582,1.814775622,3,0.994029851,0,3,1.594029851,0.682479721
27,14,2,1,2,1,F. Boher,Ectotherms In Variable Thermal Landscapes: A Physiological Evaluation Of The Invasive Potential Of Fruit Flies Species,2016,Frontiers In Physiology,4.755,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila gaucha,Terrestrial,Acclimation,NA,NA,14,Days,17,17,24,24,T2,10,NA,NA,NA,NA,Adult,Adult,Gene Expression,hsp90,Relative Expression,No,No,NA,No,Yes,21,3,0.931343284,0.666968818,3,1.03880597,0.403283472,3,0.994029851,0,3,1.065671642,0.635947013
28,16,1,1,3,1,C. Y. Chen,"Effect Of Warming With Temperature Oscillations On A Low-Latitude Aphid, Aphis Craccivora",2013,Bulletin Of Entomological Research,2.048,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis craccivora,Terrestrial,Developmental Plasticity,Juvenile,Nymphal Period,NA,NA,28.6,28.6,32.5,32.5,T2,6.5,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Life-History Traits,Development Time,day-1,No,No,NA,No,Yes,22,40,0.244411765,0.014881307,40,0.203823529,0.014881307,40,0.201176471,0.013021143,40,0.169705882,0.01674147
29,16,1,1,3,2,C. Y. Chen,"Effect Of Warming With Temperature Oscillations On A Low-Latitude Aphid, Aphis Craccivora",2013,Bulletin Of Entomological Research,2.048,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis craccivora,Terrestrial,Developmental Plasticity,Juvenile,Nymphal Period,NA,NA,28.6,28.6,32.5,32.5,T2,6.5,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Life-History Traits,Longevity,Days,No,No,NA,No,Yes,23,40,11.11389296,3.100916279,40,12.98169453,2.953253599,40,5.53383575,1.624289479,40,4.880105198,2.214940199
30,26,1,1,2,1,M. Czarnoleski,Flies Developed Small Bodies And Small Cells In Warm And In Thermally Fluctuating Environments,2013,Journal Of Experimental Biology,3.308,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,25.2,25.1,18.1,18.2,T1,8,Alternating,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Both,No,Yes,24,13,8.14516129,0.508064516,13,8.088709677,0.508064516,13,18.75806452,0.508064516,13,16.0483871,0.564516129
31,26,1,1,2,2,M. Czarnoleski,Flies Developed Small Bodies And Small Cells In Warm And In Thermally Fluctuating Environments,2013,Journal Of Experimental Biology,3.308,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,25.2,25.1,18.1,18.2,T1,8,Alternating,1,Day,NA,NA,NA,Morphology,Thorax Size,mm,No,No,Female,No,Yes,25,13,0.946680498,0.043568465,13,0.931742739,0.042323651,13,0.984024896,0.043568465,13,0.984024896,0.043568465
32,26,1,1,2,3,M. Czarnoleski,Flies Developed Small Bodies And Small Cells In Warm And In Thermally Fluctuating Environments,2013,Journal Of Experimental Biology,3.308,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,25.2,25.1,18.1,18.2,T1,8,Alternating,1,Day,NA,NA,NA,Morphology,Thorax Size,mm,No,No,Male,No,Yes,26,13,0.810995851,0.043568465,13,0.807261411,0.042323651,13,0.884439834,0.044813278,13,0.869502075,0.044813278
33,27,1,1,3,2,J. G. Kingsolver,Fluctuating Temperatures And Ectotherm Growth: Distinguishing Non-Linear And Time-Dependent Effects,2015,Journal Of Experimental Biology,3.308,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca sexta,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,20,20,25,25,T2,10,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Morphology,Mass,g,No,No,NA,No,Yes,27,10,1.609215017,0.161891348,10,1.849829352,0.161891348,10,2.218430034,0.307593561,10,1.844709898,0.178080483
34,27,1,1,3,3,J. G. Kingsolver,Fluctuating Temperatures And Ectotherm Growth: Distinguishing Non-Linear And Time-Dependent Effects,2015,Journal Of Experimental Biology,3.308,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca sexta,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,20,20,25,25,T2,10,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,NA,No,Yes,28,10,18.15019763,0.599957817,10,21.70750988,0.749947271,10,13.64426877,0.899936725,10,14.40316206,0.899936725
35,27,1,2,4,2,J. G. Kingsolver,Fluctuating Temperatures And Ectotherm Growth: Distinguishing Non-Linear And Time-Dependent Effects,2015,Journal Of Experimental Biology,3.308,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca sexta,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,20,20,25,25,T2,20,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Morphology,Mass,g,No,No,NA,No,Yes,27,10,1.609215017,0.161891348,10,2.075085324,0.161891348,10,2.218430034,0.307593561,10,1.988054608,0.291404426
